,alternativeSpellings,createdAt,department,id,name,updatedAt
218,,2016-03-24T08:36:16.375Z,106,5551,"Hunaja, luomu",2016-12-16T09:16:19.637Z
219,,2016-03-24T08:36:17.071Z,106,5553,"Hunaja, suomalainen",2016-12-16T09:16:20.727Z
220,,2016-03-24T08:36:17.388Z,100,5554,Hunajameloni,2016-12-16T09:16:21.446Z
221,,2016-03-24T08:36:17.708Z,111,5555,Huuhteluaine,2016-12-16T09:16:23.663Z
222,,2016-03-24T08:36:18.375Z,111,5557,Huulikiilto,2016-12-16T09:16:25.474Z
223,,2016-03-24T08:36:19.012Z,111,5559,Huulirasva,2016-12-16T09:16:26.194Z
224,,2016-03-24T08:36:19.335Z,106,5560,Hyytelösokeri,2016-12-16T09:16:29.129Z
225,,2016-03-24T08:36:19.655Z,106,5561,"Hyytelösokeri, multi",2016-12-16T09:16:29.493Z
226,[],2016-03-24T08:36:20.316Z,102,5563,"Ilmakuivattu kinkku, prosciutto, di San Daniele",2016-12-16T09:16:33.873Z
227,,2016-03-24T08:36:20.634Z,111,5564,Ilmanraikastin,2016-12-16T09:16:34.242Z
228,,2016-03-24T08:36:20.954Z,111,5565,Ilmapallo,2016-12-16T09:16:34.604Z
229,,2016-03-24T08:36:21.273Z,106,5566,"Inkivääri, jauhettu",2016-12-16T09:16:36.408Z
230,,2016-03-24T08:36:22.258Z,105,5569,Inkivääritahna,2016-12-16T09:16:40.464Z
231,,2016-03-24T08:36:22.575Z,111,5570,Italian leivosvuoka,2016-12-16T09:16:42.626Z
232,,2016-03-24T08:36:22.893Z,103,5571,Italiansalaatti,2016-12-16T09:16:42.990Z
233,,2016-03-24T08:36:23.215Z,106,5572,"Jalapeno, kuivattu",2016-12-16T09:18:54.657Z
234,,2016-03-24T08:36:23.853Z,102,5574,Janssonfilee,2016-12-16T09:19:00.368Z
235,,2016-03-24T08:36:25.207Z,106,5578,Jauhelihamauste,2016-12-16T09:19:08.037Z
236,[],2016-03-24T08:36:03.321Z,108,5513,"Mehu, hedelmä",2016-12-16T09:36:49.771Z
237,,2016-03-24T08:36:26.176Z,104,5581,Jogurtti,2016-03-24T08:36:26.176Z
238,,2016-03-24T08:36:26.815Z,100,5583,Juhlaperuna,2016-03-24T08:36:26.815Z
239,,2016-03-24T08:36:27.495Z,100,5585,Juures,2016-03-24T08:36:27.495Z
240,,2016-03-24T08:36:28.773Z,104,5589,Juusto,2016-03-24T08:36:28.773Z
241,,2016-03-24T08:36:34.238Z,107,5605,"Jättikatkarapu, kuorittu, pakaste",2016-03-24T08:36:34.238Z
242,,2016-03-24T08:36:34.558Z,107,5606,"Jättikatkarapu, raaka, kuorittu, pakaste",2016-03-24T08:36:34.558Z
243,,2016-03-24T08:36:36.265Z,107,5611,"Jäätelö, all or nut-thing",2016-03-24T08:36:36.265Z
244,,2016-03-24T08:36:37.578Z,107,5615,"Jäätelö, cinnamon buns",2016-03-24T08:36:37.578Z
245,,2016-03-24T08:36:37.894Z,107,5616,"Jäätelö, core & caramel sutra",2016-03-24T08:36:37.894Z
246,,2016-03-24T08:36:38.280Z,107,5617,"Jäätelö, English mint",2016-03-24T08:36:38.280Z
247,,2016-03-24T08:36:38.635Z,107,5618,"Jäätelö, kuningatar",2016-03-24T08:36:38.635Z
248,,2016-03-24T08:36:39.636Z,107,5621,"Jäätelö, mokkapalat",2016-03-24T08:36:39.636Z
249,,2016-03-24T08:36:40.910Z,107,5625,"Jäätelö, Rocky Road",2016-03-24T08:36:40.910Z
250,,2016-03-24T08:36:44.539Z,108,5636,"Kaakaojauhe, Reilun kaupan",2016-03-24T08:36:44.539Z
